Timestamp_ms,IntegrationTime_us,AutoExposure,LED_State,Comment,Max_ADC,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252,P253,P254,P255,P256,P257,P258,P259,P260,P261,P262,P263,P264,P265,P266,P267,P268,P269,P270,P271,P272,P273,P274,P275,P276,P277,P278,P279,P280,P281,P282,P283,P284,P285,P286,P287
184226,1000000,ON,ON,Turmeric,3152,359,355,355,358,360,355,359,353,355,359,356,358,357,361,358,359,358,360,352,359,358,360,358,359,357,359,356,355,359,357,355,359,356,357,357,360,358,358,358,360,354,360,356,357,355,363,355,358,356,366,355,363,354,359,357,357,357,400,355,359,359,362,358,358,358,357,363,361,358,358,361,358,357,358,359,356,358,357,360,354,357,362,359,359,357,360,360,295,288,289,292,285,288,294,271,290,288,288,301,281,290,291,282,291,291,285,291,291,288,291,285,290,288,287,292,288,291,289,288,293,288,256,298,298,304,308,312,330,337,360,396,423,474,557,630,782,957,1245,1600,1936,2172,2294,2227,2080,1916,1785,1707,1595,1447,1333,1236,1198,1197,1211,1232,1267,1323,1381,1447,1535,1599,1682,1773,1842,1905,1995,2083,2144,2216,2281,2354,2419,2425,2464,2451,2459,2431,2427,2465,2484,2543,2592,2634,2666,2674,2727,2743,2766,2783,2851,2868,2941,2990,3020,3082,3138,3152,3151,3110,3126,3120,3135,3100,3089,3050,3046,3012,2960,2896,2815,2736,2655,2559,2486,2410,2341,2241,2145,2095,2015,1939,1872,1789,1712,1651,1579,1521,1453,1397,1319,1253,1212,1136,1095,1051,1006,961,916,885,851,829,790,780,738,715,703,671,659,631,611,599,563,560,539,523,511,498,479,465,448,438,432,419,407,399,390,384,370,368,358,349,358,350,342,347,336,330,333,323,330,320,324,318,316,318,317,306,311
244624,1000000,ON,ON,Turmeric,3283,357,365,357,360,356,355,361,354,355,361,361,358,358,354,356,359,355,352,358,357,352,358,356,356,357,362,358,357,361,359,359,359,361,363,356,359,354,355,360,356,354,359,355,356,353,355,359,359,353,360,362,363,354,359,357,351,357,362,363,355,364,359,357,359,355,360,356,357,350,359,355,356,358,359,355,355,347,357,354,356,356,354,356,355,352,358,355,297,290,288,290,288,290,293,289,295,288,290,302,289,282,292,276,290,291,283,294,293,295,293,283,293,290,286,293,288,290,297,284,295,290,292,304,304,304,313,313,335,343,368,401,434,493,584,667,823,1041,1343,1727,2091,2322,2461,2378,2238,2045,1917,1812,1680,1535,1421,1319,1276,1265,1268,1298,1341,1381,1461,1533,1621,1703,1783,1866,1937,2011,2106,2177,2254,2310,2380,2421,2505,2539,2559,2537,2554,2518,2515,2536,2580,2635,2691,2731,2766,2795,2807,2845,2875,2879,2949,2960,3034,3088,3146,3210,3235,3263,3283,3201,3245,3243,3223,3208,3200,3152,3158,3146,3071,2975,2895,2819,2715,2639,2559,2463,2395,2297,2215,2160,2055,1974,1907,1827,1776,1686,1626,1565,1495,1427,1357,1275,1232,1168,1130,1114,1032,989,939,897,876,845,819,791,759,735,717,688,665,639,630,606,576,570,556,530,511,497,481,477,459,450,433,417,414,404,397,386,374,371,368,356,372,347,346,349,337,337,332,322,329,330,322,325,322,311,313,307,309
305033,1000000,ON,ON,Turmeric,3375,387,355,354,359,355,359,354,352,355,355,354,355,376,355,357,332,352,356,355,333,358,357,355,358,357,357,357,358,354,355,356,355,357,358,358,358,355,356,355,357,356,355,355,358,353,358,355,357,356,357,354,356,354,357,358,354,351,355,355,357,354,359,354,355,356,353,353,357,352,358,361,357,353,358,355,356,356,359,355,354,355,358,355,358,357,355,355,299,289,293,298,309,289,299,287,291,290,289,303,285,289,291,277,293,294,286,291,291,291,292,286,290,286,286,295,291,291,295,288,293,294,295,304,301,304,318,316,335,347,369,404,452,511,601,704,867,1095,1409,1801,2192,2461,2559,2512,2327,2161,1991,1897,1779,1628,1483,1376,1328,1314,1333,1358,1393,1444,1529,1600,1687,1762,1837,1937,1997,2079,2166,2239,2319,2379,2440,2519,2587,2607,2627,2608,2620,2608,2583,2621,2656,2719,2767,2811,2826,2880,2901,2937,2955,2970,3035,3056,3162,3198,3259,3303,3344,3346,3375,3314,3345,3323,3309,3302,3296,3237,3235,3194,3138,3060,2965,2889,2802,2713,2627,2510,2442,2350,2275,2187,2097,2027,1963,1872,1808,1729,1664,1614,1488,1456,1381,1314,1249,1187,1152,1083,1041,1004,957,926,890,864,828,803,765,742,719,697,681,640,638,602,591,573,559,535,531,505,484,476,462,448,432,429,419,401,397,372,374,371,368,356,359,347,347,347,336,336,329,320,332,326,317,322,318,320,314,306,316
365337,980861,ON,ON,Turmeric,3467,356,351,355,353,353,357,353,347,354,354,354,359,354,354,354,358,354,354,355,358,355,354,353,357,353,357,353,351,353,355,354,354,350,358,354,355,353,353,353,357,357,356,355,357,353,356,361,355,355,355,354,355,356,355,355,352,356,355,356,357,356,380,355,360,358,359,351,357,355,356,354,359,355,357,363,355,355,358,355,355,355,358,352,355,355,357,353,298,289,291,293,289,287,294,289,294,289,286,295,288,290,288,283,294,290,279,288,287,286,294,283,289,294,293,300,283,293,297,291,297,290,294,307,304,309,322,326,338,351,380,417,459,523,613,720,896,1126,1459,1872,2265,2556,2672,2587,2415,2229,2071,1966,1820,1675,1523,1424,1363,1360,1365,1393,1424,1470,1561,1627,1733,1827,1895,1974,2061,2117,2214,2314,2374,2450,2528,2591,2669,2685,2685,2677,2700,2650,2655,2685,2719,2775,2818,2873,2927,2944,2978,2997,3035,3054,3122,3133,3248,3344,3361,3415,3446,3440,3455,3394,3454,3420,3467,3385,3380,3339,3311,3282,3251,3135,3027,2979,2871,2774,2687,2590,2496,2405,2320,2231,2131,2074,1991,1915,1845,1757,1675,1622,1533,1478,1404,1324,1292,1223,1168,1116,1073,1014,975,935,905,879,839,815,780,759,743,719,689,665,641,624,595,581,560,545,541,510,490,478,464,455,442,428,418,402,399,390,380,376,368,362,363,352,351,350,336,337,340,323,329,329,330,320,304,317,318,308,317
425422,971397,ON,ON,Turmeric,3394,355,358,356,357,359,362,353,353,355,357,355,358,359,358,352,359,357,356,355,354,359,359,352,359,357,369,356,361,357,359,354,359,352,355,354,350,358,362,352,358,356,354,339,357,355,358,354,357,357,358,355,357,368,357,311,354,358,357,357,361,357,361,357,358,355,357,354,352,356,355,358,354,354,354,354,358,355,358,354,352,359,358,353,357,354,354,355,300,288,288,294,285,288,297,285,292,289,288,299,289,285,289,281,293,289,279,294,287,294,293,286,297,289,287,297,289,287,298,290,298,291,299,303,302,308,320,320,338,349,381,420,453,526,643,721,880,1120,1440,1852,2257,2495,2630,2545,2368,2195,2031,1934,1807,1637,1514,1393,1348,1334,1344,1365,1421,1461,1535,1612,1693,1785,1869,1959,2021,2098,2182,2263,2326,2414,2494,2535,2621,2626,2647,2650,2641,2609,2606,2634,2657,2736,2777,2834,2858,2873,2911,2931,2967,2990,3039,3071,3166,3207,3263,3303,3344,3394,3382,3390,3375,3330,3313,3314,3303,3258,3244,3147,3170,3056,2973,2902,2814,2733,2621,2510,2447,2352,2271,2192,2114,2032,1954,1878,1809,1723,1658,1616,1494,1466,1377,1318,1264,1200,1152,1102,1035,1005,970,917,901,863,834,816,773,752,727,703,676,650,634,621,589,576,561,535,528,498,486,488,458,453,442,432,416,400,400,385,382,373,369,361,358,352,357,354,341,335,336,325,336,332,327,323,312,318,318,314,320
485698,280748,ON,ON,Turmeric,3606,355,358,355,355,354,358,355,355,347,361,355,359,354,358,355,320,359,365,353,346,354,358,353,358,353,355,353,357,355,356,354,353,354,353,354,357,353,355,355,354,355,355,352,357,355,354,357,357,363,357,354,357,355,357,357,355,353,359,353,359,356,367,355,357,354,356,357,358,354,349,354,356,357,358,358,355,356,354,354,355,353,358,355,354,356,357,353,301,295,289,294,287,304,297,291,294,293,291,303,293,286,291,286,289,299,288,298,294,291,293,293,295,297,293,297,291,294,299,290,302,295,294,310,299,309,322,322,347,364,387,432,475,542,642,755,951,1206,1535,1990,2410,2685,2805,2708,2522,2324,2167,2061,1911,1744,1616,1486,1424,1413,1430,1462,1488,1567,1643,1718,1808,1892,1970,2064,2148,2218,2307,2384,2452,2544,2621,2678,2752,2767,2793,2789,2806,2768,2767,2793,2815,2879,2917,2982,3024,3003,3117,3134,3143,3190,3244,3260,3369,3409,3478,3509,3573,3575,3606,3541,3560,3547,3526,3513,3493,3454,3451,3395,3344,3256,3147,3058,2939,2864,2749,2647,2554,2483,2391,2301,2211,2141,2046,1984,1904,1815,1738,1687,1588,1526,1461,1379,1326,1247,1199,1143,1089,1056,994,957,928,890,870,843,797,784,752,727,713,675,656,640,612,594,574,560,543,523,497,489,465,464,449,436,432,418,400,394,385,378,373,365,365,355,354,350,338,341,336,328,334,309,325,329,321,320,318,315,319
545743,11000,ON,ON,Turmeric,3412,356,355,353,357,355,356,357,351,358,359,358,358,358,357,356,358,355,358,370,362,319,361,355,359,357,358,368,359,358,357,358,355,354,357,353,359,356,357,354,357,357,358,353,358,354,357,356,358,356,363,356,357,355,358,356,355,358,354,354,361,357,357,359,356,352,356,356,356,355,355,354,356,355,359,355,355,352,355,356,353,353,356,352,355,352,357,353,299,294,291,294,286,289,292,289,295,288,287,302,288,289,291,285,291,289,289,288,291,292,293,286,279,291,286,298,284,290,298,289,301,293,291,304,304,309,319,318,340,352,371,417,461,524,624,749,903,1171,1518,1955,2362,2559,2660,2544,2351,2151,2021,1904,1780,1610,1479,1381,1338,1342,1362,1392,1440,1491,1578,1653,1740,1832,1904,1990,2064,2137,2228,2257,2368,2447,2513,2557,2640,2662,2689,2678,2657,2624,2645,2660,2704,2763,2814,2863,2879,2907,2958,2982,2979,3051,3081,3094,3183,3221,3287,3353,3387,3412,3387,3354,3360,3353,3344,3314,3326,3289,3259,3206,3202,3094,3005,2943,2811,2722,2647,2550,2449,2371,2274,2210,2127,2032,1967,1886,1821,1727,1663,1599,1522,1453,1378,1327,1258,1200,1155,1103,1047,993,947,923,881,864,819,816,770,752,740,698,676,641,629,610,583,577,559,548,526,509,491,480,459,454,437,419,419,407,392,389,379,375,368,364,364,349,350,350,335,337,335,329,327,331,320,320,317,314,319,307,318
605753,11000,ON,ON,Turmeric,3545,357,359,358,361,357,358,359,352,357,363,358,358,358,363,351,354,355,355,355,358,355,359,356,357,358,358,357,355,342,359,355,358,357,355,356,358,355,358,355,357,354,359,358,355,353,359,353,355,355,355,353,358,352,356,357,353,356,358,354,355,353,365,354,358,353,357,352,357,353,356,354,358,374,359,352,354,376,366,354,355,355,357,353,355,364,356,357,298,291,291,295,282,289,298,290,299,291,290,301,285,290,293,308,295,290,285,294,295,293,298,287,295,293,288,299,292,291,299,289,301,294,297,306,304,305,318,317,341,355,382,423,461,540,638,747,951,1223,1615,2066,2479,2721,2795,2670,2453,2284,2114,2010,1844,1696,1553,1441,1398,1398,1405,1458,1488,1559,1665,1735,1808,1904,1984,2083,2154,2208,2307,2397,2470,2547,2619,2677,2770,2795,2799,2776,2776,2755,2736,2752,2800,2869,2913,2976,2992,3026,3067,3101,3115,3151,3199,3231,3331,3372,3408,3471,3521,3545,3533,3495,3515,3462,3475,3447,3470,3457,3401,3367,3311,3232,3114,3021,2911,2805,2729,2624,2539,2451,2351,2283,2174,2118,2015,1951,1872,1783,1701,1653,1562,1503,1427,1344,1306,1230,1185,1135,1068,1034,992,944,919,880,848,830,789,763,741,710,709,662,639,624,599,578,561,543,544,511,495,493,466,465,441,432,423,407,400,393,390,377,370,359,363,357,355,351,338,338,335,325,335,330,325,323,324,321,320,313,320
665765,11000,ON,ON,Turmeric,3664,357,354,356,362,359,363,357,351,356,355,353,358,355,357,356,357,357,357,355,358,355,361,356,355,360,357,354,360,358,355,358,357,375,358,351,356,356,361,357,354,355,355,353,354,354,353,355,357,355,354,355,354,353,359,355,353,354,359,353,358,354,355,353,356,342,354,353,362,353,354,357,354,355,359,353,356,357,355,351,354,356,359,353,355,354,355,355,302,294,290,292,286,291,295,291,298,289,283,304,294,289,293,282,294,293,285,294,283,290,301,288,298,315,287,298,289,291,299,291,301,293,300,306,302,315,323,320,343,358,388,420,467,547,653,784,981,1266,1678,2157,2559,2845,2913,2769,2559,2317,2201,2085,1930,1757,1609,1485,1450,1451,1479,1533,1559,1633,1723,1805,1891,1983,2071,2165,2245,2315,2389,2475,2544,2636,2701,2790,2848,2885,2884,2879,2879,2832,2842,2864,2894,2975,3014,3071,3138,3163,3211,3226,3264,3298,3359,3361,3462,3515,3563,3615,3648,3659,3664,3616,3633,3613,3605,3605,3598,3570,3536,3513,3436,3330,3239,3145,3007,2921,2810,2719,2619,2544,2416,2346,2239,2176,2085,2013,1921,1851,1777,1711,1615,1553,1474,1393,1342,1268,1217,1153,1110,1063,1019,962,938,902,867,853,797,785,770,733,718,677,659,639,607,593,579,559,549,522,505,485,469,457,443,432,427,411,401,401,383,379,371,367,368,352,349,359,342,339,337,326,336,336,330,325,320,320,320,313,317
725776,11000,ON,ON,Turmeric,3762,359,357,357,358,357,359,357,350,358,362,354,356,357,356,355,359,355,358,356,358,361,361,360,359,359,361,355,357,359,359,357,358,359,359,355,360,357,359,357,359,358,356,357,358,359,359,357,359,358,359,355,360,355,358,359,335,356,362,357,363,357,358,356,355,357,357,354,357,359,358,354,359,358,359,355,354,357,353,355,354,369,359,356,357,358,355,357,302,292,291,302,288,290,300,287,297,290,289,304,285,289,293,290,294,291,285,298,289,292,302,287,317,294,289,300,291,291,299,291,277,297,294,291,304,307,319,325,343,363,389,431,482,562,666,800,1018,1315,1735,2224,2676,2960,3044,2881,2657,2439,2267,2145,1995,1803,1671,1535,1494,1485,1510,1535,1600,1680,1774,1854,1967,2044,2118,2235,2309,2384,2470,2559,2624,2717,2787,2867,2949,2979,2993,2977,2979,2941,2928,2960,2989,3088,3129,3174,3246,3248,3293,3329,3358,3387,3435,3469,3570,3608,3659,3706,3715,3762,3760,3714,3723,3722,3722,3681,3684,3664,3639,3600,3547,3431,3328,3245,3110,3006,2893,2783,2690,2595,2491,2404,2305,2217,2154,2070,1968,1878,1814,1750,1645,1599,1518,1432,1372,1296,1249,1203,1121,1083,1047,992,959,925,891,876,832,807,782,743,724,694,668,641,624,597,579,563,555,532,511,498,477,464,453,438,432,414,400,401,393,383,384,370,368,359,357,357,343,340,343,327,336,305,330,331,321,320,322,315,320
